id_campanha,campanha,canal,objetivo,plataforma,impressoes,cliques,investimento,receita,leads,leads_qualificados,clientes,emails_enviados,emails_abertos,emails_cliques,ctr,cpc,cpl,cpql,cac,taxa_qualificacao,taxa_lead_cliente,roas,roi,taxa_abertura_email,taxa_clique_email,ctor
CAMP001,Google Ads,Email,Aquisição,Google,108749.0,1208.0,1585.9,25863.29,195,73,73,23318,10179,3109,0.011108,1.312831,8.132821,21.724658,21.724658,0.374359,0.374359,16.308273,15.308273,0.43653,0.13333,0.305433
CAMP001,Google Ads,Search,Aquisição,Google,6855338.0,312235.0,369541.34,4004757.49,48699,25061,15665,2932450,1446868,667036,0.045546,1.183536,7.588274,14.745674,23.590255,0.51461,0.32167,10.837103,9.837103,0.493399,0.227467,0.461021
CAMP002,Meta Ads,Social Media,Aquisição,Meta,4754350.0,216700.0,1268459.49,3262674.31,39096,19994,13448,2047438,946618,451941,0.045579,5.853528,32.444738,63.442007,94.323282,0.511408,0.343974,2.572155,1.572155,0.462343,0.220735,0.477427
CAMP003,Instagram,Social Media,Brand Awareness,Meta,4266355.0,156179.0,222431.25,2808511.16,35899,18335,11193,1756644,904896,453081,0.036607,1.424207,6.196029,12.131511,19.872353,0.510738,0.311791,12.626423,11.626423,0.515128,0.257924,0.5007
CAMP004,Email Black Friday,Email,Retenção,CRM,4997118.0,411250.0,269726.03,2991151.19,43023,22975,13236,2074354,1059330,520382,0.082297,0.655869,6.269345,11.73998,20.378213,0.534017,0.307649,11.08959,10.08959,0.510679,0.250865,0.491237
CAMP004,Email Black Friday,Social Media,Retenção,CRM,104675.0,1747.0,7508.06,23585.17,386,198,127,71362,68040,56220,0.01669,4.297687,19.450933,37.919495,59.118583,0.512953,0.329016,3.141313,2.141313,0.953449,0.787814,0.826279
CAMP005,Remarketing,Display,Conversão,Google,3948995.0,151044.0,264196.51,2414902.99,33614,16471,9967,2103250,1009527,530890,0.038249,1.749136,7.859716,16.040101,26.507125,0.490004,0.296513,9.140556,8.140556,0.479984,0.252414,0.52588
CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,4839578.0,342312.0,238888.87,2555692.02,38098,18977,11791,2081718,1119409,557696,0.070732,0.697869,6.270378,12.588337,20.260272,0.49811,0.309491,10.698247,9.698247,0.537733,0.267902,0.498206
CAMP006,Influenciadores,Social Media,Brand Awareness,Influencers,49254.0,2574.0,6415.73,10163.6,274,193,97,4373,2143,485,0.05226,2.492514,23.415073,33.242124,66.141546,0.70438,0.354015,1.584169,0.584169,0.490053,0.110908,0.226318
CAMP007,YouTube Ads,Social Media,Aquisição,Google,263890.0,12384.0,5522.6,148072.21,2917,1406,933,66004,55873,38276,0.046929,0.445946,1.893246,3.927881,5.919185,0.482002,0.319849,26.812047,25.812047,0.846509,0.579904,0.685054
CAMP007,YouTube Ads,Video,Aquisição,Google,3605962.0,152476.0,213966.84,2451395.63,31117,15897,9568,1765073,968331,475782,0.042284,1.403282,6.876204,13.459574,22.362755,0.510878,0.307485,11.456895,10.456895,0.548607,0.269554,0.491342
CAMP008,Newsletter,Email,Retenção,CRM,5091861.0,353186.0,1287466.43,2663272.12,38005,20631,11710,2048077,1006989,533949,0.069363,3.645293,33.876238,62.404461,109.945895,0.54285,0.308117,2.068615,1.068615,0.491675,0.260707,0.530243
