data,id_campanha,campanha,canal,objetivo,plataforma,pais,regiao,origem_trafego,impressoes,cliques,investimento,receita,leads,leads_qualificados,clientes,emails_enviados,emails_abertos,emails_cliques,dispositivo,tipo_usuario
29/06/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,brazil,sudeste,Instagram,5860,108,3940.0,2315.83,11,5,10,17023,8322,1685,,New
21/01/2025,CAMP008,Newsletter,Email,Retenção,CRM,Brasil ,Nordeste,Instagram,88104,2232,2892.85,27926.79,547,178,156,1189,957,686,mobile,returning
20/02/2025,CAMP005,Remarketing,Display,Conversão,Google,Brasil,,Google,46606,825,6175.42,7349.67,246,102,20,24483,15787,10748,Desktop,New
12/05/2025,CAMP008,Newsletter,Email,Retenção,CRM,BRA,Sudeste,YouTube,24457,788,3754.9,2628.75,242,120,41,34763,32606,29487,tablet,
21/04/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,BRA,Sul,Facebook,14268,591,4004.67,11821.1,94,32,68,3568,1367,1152,mobile,returning
02/02/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,Brasil,Nordeste,YouTube,17666,215,885.77,4108.01,53,22,11,36222,11837,8996,desktop,returning
11/04/2025,CAMP001,Google Ads,Search,Aquisição,Google,BR,Nordeste,Email,13110,637,3714.11,20527.73,135,72,60,24419,17868,15934,Desktop,
23/05/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,BRA,Nordeste,YouTube,38827,2397,4561.88,70560.79,595,245,186,30467,29723,13931,,returning
02/04/2025,CAMP008,Newsletter,Email,Retenção,CRM,brazil,Sudeste,Facebook,26976,704,1597.39,4053.9,211,152,23,22959,5530,4744,Mobile,Returning
28/02/2025,CAMP008,Newsletter,Email,Retenção,CRM,BR,Sudeste,Facebook,98557,2017,2714.36,15105.38,299,115,148,24938,23664,1636,mobile,New
23/02/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,Brasil,Sudeste,YouTube,5854,139,1671.22,1938.96,29,22,15,5931,3510,202,tablet,Returning
19/05/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,BRA,Nordeste,Google,115078,1512,2186.95,22229.53,155,89,155,7546,1369,146,mobile,New
09/05/2025,CAMP008,Newsletter,Email,Retenção,CRM,BR,sudeste,Google,6802,186,6021.8,1891.48,27,16,8,42976,16371,11835,,Returning
06/02/2025,CAMP005,Remarketing,Display,Conversão,Google,BR,Nordeste,YouTube,34855,1536,2367.48,25165.52,494,364,196,13183,12915,12874,Desktop,returning
09/04/2025,CAMP008,Newsletter,Email,Retenção,CRM,Brasil,Sudeste,Google,7200,59,3634.46,315.24,15,5,2,24328,20877,3987,Desktop,returning
29/04/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,BRA,Centro-Oeste,Facebook,22429,491,2646.17,21847.86,122,83,57,40790,5600,4548,Desktop,returning
18/02/2025,CAMP008,Newsletter,Email,Retenção,CRM,Brasil,Nordeste,Google,110983,2008,6207.45,89160.29,361,93,228,32216,301,180,Desktop,
09/06/2025,CAMP005,Remarketing,Display,Conversão,Google,br,Sul,Meta,11102,258,2516.56,3641.32,79,60,17,46681,7455,4014,Mobile,New
14/04/2025,CAMP001,Google Ads,Search,Aquisição,Google,BR,Nordeste,Email,111400,1758,3660.41,28387.71,339,132,157,24355,22009,19334,Desktop,new
24/05/2025,CAMP008,Newsletter,Email,Retenção,CRM,br,,YouTube,81429,4782,2534.95,26980.88,1129,304,241,23677,22841,9907,desktop,Returning
08/01/2025,CAMP005,Remarketing,Display,Conversão,Google,brazil,sudeste,Instagram,24508,575,3053.63,24175.0,76,36,66,8079,7987,6799,Mobile,returning
30/04/2025,CAMP001,Google Ads,Search,Aquisição,Google,br,,YouTube,87750,2870,1742.96,38093.81,292,141,267,2081,633,512,mobile,
09/05/2025,CAMP005,Remarketing,Display,Conversão,Google,brazil,Sudeste,YouTube,8343,312,2916.52,8533.55,28,15,26,8253,2744,1243,,Returning
24/05/2025,CAMP005,Remarketing,Display,Conversão,Google,Brasil,sudeste,Google,113761,5860,2349.03,138985.63,1496,413,584,32843,2849,2809,tablet,
16/01/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,Brasil,Sul,Email,N/A,3522,5656.71,119143.64,1043,649,402,27144,4000,956,Desktop,returning
10/06/2025,CAMP001,Google Ads,Search,Aquisição,Google,br,sudeste,Meta,116783,6960,590.44,28223.34,591,178,247,28472,25351,23132,,New
15/04/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,Brasil,Sudeste,Facebook,25358,373,4143.79,12106.9,103,71,32,45425,38756,18888,Desktop,New
06/04/2025,CAMP001,Google Ads,Search,Aquisição,Google,BR,,Email,64031,3677,1665.09,84632.05,1028,391,272,45912,14397,8787,desktop,returning
10/04/2025,CAMP001,Google Ads,Search,Aquisição,Google,Brasil,Nordeste,Google,21779,1364,2403.65,57149.03,358,184,141,9335,4980,3140,Desktop,returning
22/02/2025,CAMP005,Remarketing,Display,Conversão,Google,BRA,Sudeste,Email,65566,3444,6061.4,37834.48,1201,337,174,9924,4330,953,,
19/06/2025,CAMP008,Newsletter,Email,Retenção,CRM,BR,Centro-Oeste,Instagram,67856,3721,666.56,36027.64,1288,587,331,42459,26256,25086,Desktop,Returning
19/01/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,brazil,Sudeste,Google,77124,2278,1729.4,38841.74,449,174,202,4709,1081,475,desktop,
23/04/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,brazil,Nordeste,Facebook,28960,1665,6266.46,5384.48,569,155,92,28509,27860,11003,desktop,Returning
26/05/2025,CAMP001,Google Ads,Search,Aquisição,Google,BRA,Nordeste,Email,76726,3366,3036.34,86837.45,800,596,296,14323,1353,735,Mobile,Returning
31/03/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,BRA,Centro-Oeste,Email,107023,3011,643.61,94186.38,1042,660,275,14216,6132,2508,,returning
14/05/2025,CAMP005,Remarketing,Display,Conversão,Google,BR,sudeste,Google,10713,340,5986.77,2703.36,107,59,25,2015,1824,373,desktop,
04/03/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,brazil,Centro-Oeste,YouTube,N/A,4283,5473.39,105795.21,822,329,442,30189,12763,2000,desktop,
22/02/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,br,Nordeste,Meta,15916,814,1680.89,6587.48,120,48,44,5544,4976,4583,Mobile,New
28/04/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,brazil,Centro-Oeste,YouTube,54922,2067,3654.61,58204.57,654,308,215,20758,15254,11470,Mobile,returning
13/04/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,BRA,,Meta,86317,3727,4011.36,130145.53,856,256,439,29920,20645,9550,desktop,new
29/01/2025,CAMP005,Remarketing,Display,Conversão,Google,Brasil,Sul,Google,44811,1531,5032.63,16198.2,158,93,158,40037,36586,12015,desktop,Returning
12/05/2025,CAMP008,Newsletter,Email,Retenção,CRM,brazil,,Email,113215,3562,999999.99,156125.86,863,321,380,22969,12891,4777,,new
12/01/2025,CAMP005,Remarketing,Display,Conversão,Google,br,Nordeste,Google,23777,1402,2246.13,7384.19,147,75,39,46162,19262,4432,mobile,returning
29/06/2025,CAMP005,Remarketing,Display,Conversão,Google,Brasil,Nordeste,Email,5302,154,4075.92,2054.31,31,20,10,47391,5126,5122,Mobile,New
25/04/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,BR,Nordeste,Meta,40854,571,1307.5,14130.9,175,52,52,5632,3596,3283,desktop,new
26/05/2025,CAMP005,Remarketing,Display,Conversão,Google,Brasil,Sul,Email,31734,1310,3691.66,33530.65,304,139,120,20123,15679,1761,,
02/02/2025,CAMP001,Google Ads,Search,Aquisição,Google,brazil,Nordeste,YouTube,32285,672,3247.59,12924.73,69,47,35,14046,8434,2590,Mobile,Returning
16/03/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,br,,Instagram,92886,5069,1235.14,65463.14,1677,932,406,47514,22700,6469,desktop,Returning
20/01/2025,CAMP001,Google Ads,Search,Aquisição,Google,br,Centro-Oeste,Meta,41976,1603,5025.4,15684.05,347,264,143,48362,20128,12977,Desktop,New
17/06/2025,CAMP005,Remarketing,Display,Conversão,Google,BRA,sudeste,YouTube,39387,886,4977.45,21471.31,183,87,76,41752,17988,12219,tablet,returning
11/06/2025,CAMP001,Google Ads,Search,Aquisição,Google,brazil,Centro-Oeste,Facebook,89555,2652,4732.14,28616.6,771,543,297,31523,23325,21204,desktop,New
12/05/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,BR,Sudeste,Google,21984,1275,5335.41,16280.72,231,116,71,22526,4670,2190,mobile,New
22/02/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,Brasil,Nordeste,Email,41455,872,2890.2,11975.76,241,152,62,6788,5408,2035,,new
04/06/2025,CAMP001,Google Ads,Search,Aquisição,Google,BRA,Centro-Oeste,Email,87870,1419,4684.31,12645.64,402,123,51,30486,6371,5996,tablet,Returning
22/06/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,br,,Facebook,25609,222,3740.98,5499.52,53,37,23,44879,10789,6166,Desktop,New
14/04/2025,CAMP005,Remarketing,Display,Conversão,Google,BR,Nordeste,Meta,114777,4918,5687.99,32944.38,1143,723,441,39727,126,105,mobile,returning
09/02/2025,CAMP005,Remarketing,Display,Conversão,Google,BR,sudeste,Instagram,73904,4490,869.06,"R$ 115742,04",1376,438,279,35622,2708,1332,mobile,
18/06/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,Brasil,Sul,YouTube,45738,1403,5991.08,19775.76,243,159,100,46994,41914,4971,mobile,Returning
29/03/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,brazil,Sudeste,Google,51240,1468,4164.88,9374.18,380,132,111,38011,24917,21566,tablet,returning
03/03/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,BR,sudeste,YouTube,7079,245,2548.56,6924.21,58,23,19,29865,6645,5083,,returning
12/05/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,br,Centro-Oeste,Google,60168,1628,4933.11,6385.56,524,282,155,17438,7643,1823,mobile,returning
13/03/2025,CAMP008,Newsletter,Email,Retenção,CRM,BRA,Centro-Oeste,YouTube,61373,1677,5785.37,33660.67,460,318,204,10503,2538,451,tablet,New
15/03/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,br,Sul,Instagram,21032,417,1302.12,1947.64,80,59,32,23419,19978,4841,Desktop,
15/06/2025,CAMP005,Remarketing,Display,Conversão,Google,BR,sudeste,Facebook,6279,247,2019.86,6037.11,70,22,15,20063,2106,127,mobile,new
25/01/2025,CAMP008,Newsletter,Email,Retenção,CRM,BR,,Meta,65774,1343,2827.82,13872.1,433,272,133,32889,26665,5475,mobile,
02/05/2025,CAMP001,Google Ads,Search,Aquisição,Google,brazil,Nordeste,YouTube,83411,1648,1019.22,10036.16,520,300,135,48924,8646,2969,Mobile,New
23/02/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,br,,YouTube,66120,841,1707.97,13803.43,132,58,65,12046,9442,1333,tablet,new
05/02/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,BR,Sudeste,Email,79478,1823,476.55,35075.8,439,190,141,2524,2120,1040,desktop,New
08/02/2025,CAMP001,Google Ads,Search,Aquisição,Google,br,Sudeste,Google,29354,1605,4561.32,27259.64,384,172,158,5090,3004,1040,Desktop,returning
29/05/2025,CAMP008,Newsletter,Email,Retenção,CRM,BR,sudeste,Email,16344,744,5542.39,10717.66,157,58,65,47617,27935,4873,,New
14/01/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,Brasil,sudeste,Google,42198,2015,6019.92,38144.86,674,344,199,26510,19426,4497,,returning
14/02/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,br,Sudeste,Email,83945,4906,2950.55,75263.67,1150,796,346,16317,920,396,Mobile,Returning
24/02/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,brazil,,Email,57393,3698,1327.75,11580.12,1226,353,55,46084,29629,18416,Desktop,new
01/05/2025,CAMP008,Newsletter,Email,Retenção,CRM,brazil,,Google,N/A,1424,3468.0,23357.04,115,58,71,35801,32913,25280,mobile,new
20/05/2025,CAMP008,Newsletter,Email,Retenção,CRM,BRA,Nordeste,Facebook,113730,7068,717.76,152942.47,2243,1726,689,35636,14561,7878,Desktop,
23/02/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,BR,Sudeste,Facebook,46844,2592,448.1,14951.95,233,180,101,16876,8245,7214,Desktop,New
02/03/2025,CAMP001,Google Ads,Search,Aquisição,Google,brazil,sudeste,Facebook,47874,1464,4569.73,18260.8,439,163,138,11222,10568,4675,mobile,returning
29/01/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,Brasil,Centro-Oeste,Meta,70160,738,374.93,14774.56,244,159,77,41059,33742,4133,Mobile,
25/06/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,brazil,Centro-Oeste,Google,8020,473,540.63,21290.54,103,77,56,12303,6183,3930,,returning
17/06/2025,CAMP008,Newsletter,Email,Retenção,CRM,brazil,Sul,Email,72675,4104,4648.1,158594.27,1101,687,435,3469,699,6,Mobile,new
31/01/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,brazil,,Facebook,52638,436,1601.77,17114.17,44,24,44,27123,294,223,mobile,new
14/04/2025,CAMP001,Google Ads,Search,Aquisição,Google,BRA,,Email,36966,1089,5348.61,2102.43,170,44,17,14281,12094,1435,tablet,Returning
